Ticker,volume,volumeAvg,openPrice,closePrice,highPrice,lowPrice,unixTimestamp,numTransactions
NG,1285316.0,5.7979,5.78,5.84,5.91,5.665,2023-02-16,6856.0
EOG,2877243.0,126.5327,127.71,125.14,128.52,124.99,2023-02-16,51417.0
TOKE,1798.0,7.0353,6.96,7.0341,7.06,6.96,2023-02-16,54.0
MELI,394346.0,1132.3225,1131.75,1119.64,1156.75,1117.85,2023-02-16,16550.0
BUYW,94834.0,13.3001,13.32,13.3,13.34,13.2799,2023-02-16,204.0
SPPP,124744.0,12.1917,12.27,12.16,12.27,12.1,2023-02-16,798.0
NTAP,1318657.0,68.1955,68.39,67.95,68.68,67.78,2023-02-16,23660.0
TCBX,8984.0,18.8655,18.73,18.95,18.98,18.56,2023-02-16,294.0
EQIX,669528.0,715.7245,707.75,722.19,727.79,682.57,2023-02-16,18701.0
SRGpA,11724.0,24.1488,24.15,24.15,24.15,24.1,2023-02-16,12.0
SNOW,4784586.0,168.5056,171.0,164.4,172.72,163.92,2023-02-16,69934.0
KWEB,13470770.0,32.3744,32.12,32.34,32.65,31.93,2023-02-16,67129.0
SJR,1118351.0,29.1732,29.32,29.16,29.32,29.07,2023-02-16,8104.0
RCKY,21329.0,28.4259,28.62,28.22,28.759900000000002,28.145,2023-02-16,618.0
ETSY,5292783.0,133.8701,138.34,130.31,140.16,129.92,2023-02-16,80270.0
ASBpF,2894.0,23.9327,24.05,24.0,24.05,23.81,2023-02-16,62.0
VBF,19398.0,16.0181,16.0,16.03,16.08,15.83,2023-02-16,131.0
IUS,19129.0,38.8285,38.73,38.6,38.99,38.53,2023-02-16,203.0
SLNH,19456.96,8.885,9.045,8.62,9.75,8.4125,2023-02-16,1550.0
DAL,6273329.0,38.4535,38.62,38.28,38.79,38.22,2023-02-16,50126.0
DOMO,695693.0,16.5208,17.35,15.69,17.7,15.68,2023-02-16,9192.0
PSJ,13563.0,33.7574,33.7367,33.5945,33.8041,33.5945,2023-02-16,160.0
JEF,717087.0,38.6803,38.72,38.57,39.03,38.49,2023-02-16,8878.0
SEEL,12561.1,22.041,21.306,22.326,22.8,21.153,2023-02-16,1864.0
RF,6166157.0,23.6946,23.64,23.66,23.855,23.45,2023-02-16,34159.0
ULH,79742.0,32.0479,31.32,31.75,32.65,31.0,2023-02-16,1978.0
IONS,665408.0,38.2123,38.2,38.11,38.67,37.86,2023-02-16,12544.0
